company,total_applications,non_applied_rows
Apple,1172,430
Morgan Stanley,776,499
AT&T,774,660
Chick-Fil-A,496,426
Danone North America,448,364
EY-Parthenon,439,389
Ferrara Candy Company,419,363
Meta,361,274
L'Oreal USA Inc.,359,292
Altria,341,260
The Walt Disney Company,338,210
PGIM,314,67
JP Morgan Chase,285,161
American Express Company Inc.,278,196
Procter & Gamble,247,206
Wellington Management Company LLP,229,127
NIQ,218,141
Vanguard Group,217,138
Millennium Management,206,171
Anheuser-Busch InBev,194,82
The Clorox Company,181,104
Fidelity Investments,179,105
National Football League - NFL,165,109
Fannie Mae,164,153
PIMCO,156,43
Gartner,155,110
AQR Capital Management,150,135
Colgate-Palmolive Company,150,110
Reckitt,150,52
McKinsey & Company,147,95
Medtronic,136,19
Hallmark Cards,132,93
Analysis Group,125,75
Abbott,123,76
Kimberly-Clark,90,48
LEK Consulting,84,50
BNY Mellon,79,50
Deutsche Bank,75,58
IBM,74,28
Barclays Capital,73,61
American Express,67,9
Blackstone,67,38
International Business Machines Corporation (IBM),62,47
Protiviti,60,45
NVIDIA,58,21
Boeing,56,42
NBC Universal,56,34
Cargill,55,29
Johnson & Johnson,55,34
Figma,55,22
Atlassian,53,34
Duolingo,51,29
Piper Sandler,51,21
General Electric Company (GE),50,44
Delta Airlines,50,12
Sponsors for Educational Opportunity (SEO),50,40
Liberty Mutual Insurance,47,39
DoorDash,47,11
CVS Health,47,32
Uber,47,28
United Health Group (UHG),47,32
"Prudential Financial, Inc.",46,29
The D.E. Shaw Group,46,28
Roblox,43,18
Bridgewater Associates LP,43,12
Creative Artists Agency (CAA),43,28
Pandora,42,22
National Basketball Association - NBA,42,15
Nordstrom,41,30
Principal Financial,41,12
Lockheed Martin Aeronautics Co,40,26
Honeywell,39,23
Citadel LLC,39,17
Hewlett-Packard (HP),39,20
Tesla Motors,37,14
Fidelity Consulting,37,22
RBC Capital Markets,37,32
Pinterest,35,9
ExxonMobil Corp.,34,29
Dropbox,33,12
BNP Paribas,33,25
Lyft,33,9
Moody's,32,28
FTI Consulting,32,26
The Bridgespan Group,31,28
Monitor Group,31,23
Evercore,31,25
Oracle,31,17
United Airlines,30,11
U.S. Bank,30,24
"Wal-Mart Stores, Inc.",30,26
Datadog,29,11
Arsenal Capital Partners,28,5
[not provided],28,16
LPL Financial,27,3
RSM,26,18
William Blair,26,23
Estee Lauder,26,4
eBay,26,15
SAP,26,7
Booz Allen Hamilton,25,16
Management Leadership for Tomorrow (MLT),25,11
Intel,25,18
Ares Management,25,18
Nintendo,25,4
Unilever,25,14
General Motors Corporation,25,18
UPS,25,13
Jefferies,23,18
Macy's,23,12
E.L.F Cosmetics,23,10
Northrop Grumman,23,16
Electronic Arts (EA),23,9
Raymond James,22,2
Hilton,22,13
Spotify,22,12
Workday,22,14
Lazard,22,14
Home Depot,22,3
Truist,22,10
BMO Financial Group,21,12
S&P Global,21,17
Slack,21,9
Under Armour,21,8
Chevron Corporation,21,17
Paramount Pictures,21,9
The Coca-Cola Company,21,12
CodePath,20,13
Restaurant Brands International,20,11
Guy Carpenter,20,7
Freddie Mac,19,7
Lehman Brothers Inc.,19,18
Lincoln International,19,8
Girls Who Invest,19,17
Ford Motor Company,19,10
Verizon,18,6
Macquarie Group,18,6
Twitter,18,12
Baxter International,18,11
Caterpillar,18,8
Exelon,18,6
T. Rowe Price Associates,18,15
MetLife,18,14
Texas Instruments,17,15
Kohlberg Kravis Roberts & Co. L.P. (KKR),17,12
ServiceNow,17,9
Vista Equity Partners,17,13
Qualcomm,16,4
New York Life,16,5
Toyota Motor Sales,16,6
Discover Financial Services,16,12
Royal Caribbean International,16,0
Bain Capital,16,11
The Capital Group Companies,16,12
"Asana, Inc.",16,8
Two Sigma,16,5
