company_name,company_selectivity_rate,role_competition_ratio,historical_offer_rate_by_major,school_target_status,internship_conversion_rate,hiring_cycle_timing,recruiter_capacity_load,diversity_initiative_flag,offer_budget_remaining,interview_stage_depth,company_growth_rate,role_priority_level,manager_hiring_history,geographic_hiring_demand,application_channel
Adobe,0.8402,7.26,0.1356,1.1856,0.7069,2024,51.86,1,1.0234,0.1377,1.8242,0.1598,8,7,2
American Express,0.6577,3.82,0.3203,1.0204,0.5882,2024,16.56,0,2.6675,0.2617,-0.6762,0.0,14,8,0
Bain & Company,0.5051,3.84,0.4662,1.1888,0.8866,2024,16.33,0,1.315,0.2602,1.9535,0.4949,18,8,2
Bank of America,0.0915,1.33,0.899,1.1923,0.651,2024,9.65,0,0.9215,0.75,1.0345,0.9085,21,8,2
BlackRock,0.1489,1.07,0.8378,1.0638,0.725,2024,4.7,0,0.8545,0.9362,2.2222,0.8511,11,6,2
Boston Consulting Group,0.2691,1.74,0.6926,1.1003,0.7516,2024,44.86,0,1.0087,0.5732,1.6583,0.7309,18,9,0
Cambridge Associates,0.7812,6.4,0.3571,0.7812,0.5714,2024,16.0,1,0.8848,0.1562,0.0,0.2188,3,7,2
Capital One,0.6933,2.21,0.3191,0.7838,0.7391,2024,6.82,0,2.2311,0.4533,17.0,0.3067,13,8,2
Citi,0.5274,3.04,0.4219,1.0795,0.7121,2024,19.95,0,0.3801,0.3294,5.7059,0.4726,22,9,2
CoStar Group,0.9697,13.2,0.0278,1.0909,1.0,2024,33.0,1,1.0,0.0758,0.0,0.0303,2,7,2
Colgate-Palmolive,0.6915,6.27,0.2879,1.2418,0.5862,2023,13.43,0,0.6483,0.1596,6.9,0.0,8,8,0
DaVita,0.3298,3.48,0.6897,1.1613,0.6349,2024,13.43,1,1.0874,0.2872,3.0,0.6702,8,8,2
Danone North America,0.989,12.93,0.0068,1.2652,0.5,2024,181.0,1,1.0,0.0773,0.0,0.0,1,8,0
Deloitte,0.4141,2.15,0.5971,1.1237,0.7759,2024,34.94,0,0.6004,0.4646,1.4155,0.5859,20,9,2
Delta Air Lines,0.2,1.0,1.0,0.9,0.875,2024,2.5,0,0.9375,1.0,8.0,0.8,5,3,2
Genentech,1.0,1.0,0.0,1.0,0.0,2024,1.0,0,1.0,1.0,0.0,0.0,1,1,0
Gilead Sciences,0.7,2.22,0.3846,0.65,0.8333,2024,6.67,1,0.9259,0.45,0.0,0.3,3,6,2
Google,0.3564,2.58,0.6073,1.1927,0.8554,2024,33.67,0,1.1265,0.3881,0.0,0.6436,17,8,2
Kearney,0.9109,19.52,0.0809,1.0854,0.675,2024,64.14,1,0.4023,0.0512,3.1205,0.0891,8,9,2
Mars,0.3214,1.27,0.7143,0.6071,0.5263,2022,7.0,0,1.0643,0.7857,3.6,0.6786,5,7,2
Marsh & McLennan,0.9787,9.4,0.0288,1.1844,0.6667,2024,70.5,1,1.0,0.1064,0.0,0.0213,2,8,2
Nike,0.8587,4.84,0.1497,1.0219,0.6538,2024,23.0,1,0.9761,0.2065,23.8571,0.1413,12,9,2
Oliver Wyman,0.3409,2.44,0.7037,1.0227,0.4483,2024,4.89,0,0.9483,0.4091,5.8,0.6591,12,8,2
PepsiCo,0.664,4.61,0.276,0.9755,0.5403,2024,28.38,1,0.5199,0.2168,8.4839,0.336,19,8,2
Pfizer,0.7273,2.0,0.1111,0.8636,0.6667,2024,3.67,0,1.8333,0.5,-0.6154,0.2727,10,6,2
Starbucks,0.9644,14.03,0.0265,1.0567,0.4211,2024,133.25,1,0.9527,0.0713,0.0,0.0356,8,8,2
The Chartis Group,0.9286,14.0,0.125,1.1429,0.0,2024,14.0,1,1.037,0.0714,0.0,0.0714,3,8,2
TikTok,0.0769,1.62,1.0,1.4615,0.8333,2024,6.5,1,1.0,0.6154,0.0,0.9231,2,4,2
UBS,0.0851,1.74,0.9167,1.2667,0.7674,2024,3.13,0,0.9564,0.5745,3.6667,0.9149,21,7,2
Visa,0.947,11.13,0.0588,1.0323,0.6522,2024,62.0,1,1.1565,0.0899,11.4688,0.053,13,8,2
Wellington Management,0.6909,4.23,0.2615,1.2202,0.3824,2024,8.46,1,0.2353,0.2364,0.8387,0.0,18,8,0
Wells Fargo,0.2071,1.85,0.7597,1.0207,0.6178,2024,14.14,0,1.187,0.5404,4.6429,0.7929,21,8,2
