company_name,primary_track,pct_corporate_mgmt,pct_tech,pct_finance,pct_consulting,company_selectivity_rate,role_competition_ratio,historical_offer_rate_by_major,school_target_status,internship_conversion_rate,hiring_cycle_timing,recruiter_capacity_load,diversity_initiative_flag,offer_budget_remaining,interview_stage_depth,company_growth_rate,role_priority_level,manager_hiring_history,geographic_hiring_demand,application_channel
TikTok,Corporate Management,0.7692,0.0,0.0,0.2308,0.0769,1.62,1.0,1.4615,0.8333,2024,6.5,1,1.0,0.6154,0.0,0.9231,2,4,2
Mars,Corporate Management,0.0,0.0,0.0,0.0,0.3214,1.27,0.7143,0.6071,0.5263,2022,7.0,0,1.0643,0.7857,3.6,0.6786,5,7,2
DaVita,Corporate Management,0.661,0.1017,0.0678,0.1525,0.3298,3.48,0.6897,1.1613,0.6349,2024,13.43,1,1.0874,0.2872,3.0,0.6702,8,8,2
Google,Corporate Management,0.4576,0.3983,0.0254,0.1102,0.3564,2.58,0.6073,1.1927,0.8554,2024,33.67,0,1.1265,0.3881,0.0,0.6436,17,8,2
PepsiCo,Corporate Management,0.7054,0.1357,0.1085,0.0504,0.664,4.61,0.276,0.9755,0.5403,2024,28.38,1,0.5199,0.2168,8.4839,0.336,19,8,2
Colgate-Palmolive,Corporate Management,0.8085,0.0426,0.0851,0.0638,0.6915,6.27,0.2879,1.2418,0.5862,2023,13.43,0,0.6483,0.1596,6.9,0.0,8,8,0
Capital One,Corporate Management,0.5263,0.1053,0.1053,0.2632,0.6933,2.21,0.3191,0.7838,0.7391,2024,6.82,0,2.2311,0.4533,17.0,0.3067,13,8,2
Gilead Sciences,Corporate Management,0.6667,0.0556,0.2222,0.0556,0.7,2.22,0.3846,0.65,0.8333,2024,6.67,1,0.9259,0.45,0.0,0.3,3,6,2
Pfizer,Corporate Management,0.5,0.0,0.5,0.0,0.7273,2.0,0.1111,0.8636,0.6667,2024,3.67,0,1.8333,0.5,-0.6154,0.2727,10,6,2
Adobe,Corporate Management,0.5066,0.3816,0.0855,0.0263,0.8402,7.26,0.1356,1.1856,0.7069,2024,51.86,1,1.0234,0.1377,1.8242,0.1598,8,7,2
Nike,Corporate Management,0.7094,0.0427,0.0598,0.1709,0.8587,4.84,0.1497,1.0219,0.6538,2024,23.0,1,0.9761,0.2065,23.8571,0.1413,12,9,2
Danone North America,Corporate Management,0.5635,0.2044,0.0773,0.1547,0.989,12.93,0.0068,1.2652,0.5,2024,181.0,1,1.0,0.0773,0.0,0.0,1,8,0
Genentech,Corporate Management,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2024,1.0,0,1.0,1.0,0.0,0.0,1,1,0
American Express,Software Engineering/Technology,0.25,0.625,0.0,0.0833,0.6577,3.82,0.3203,1.0204,0.5882,2024,16.56,0,2.6675,0.2617,-0.6762,0.0,14,8,0
Wellington Management,Software Engineering/Technology,0.2182,0.3636,0.2545,0.1636,0.6909,4.23,0.2615,1.2202,0.3824,2024,8.46,1,0.2353,0.2364,0.8387,0.0,18,8,0
Visa,Software Engineering/Technology,0.2338,0.5617,0.1234,0.0812,0.947,11.13,0.0588,1.0323,0.6522,2024,62.0,1,1.1565,0.0899,11.4688,0.053,13,8,2
Starbucks,Software Engineering/Technology,0.3111,0.4542,0.1183,0.1126,0.9644,14.03,0.0265,1.0567,0.4211,2024,133.25,1,0.9527,0.0713,0.0,0.0356,8,8,2
CoStar Group,Software Engineering/Technology,0.0909,0.8636,0.0303,0.0152,0.9697,13.2,0.0278,1.0909,1.0,2024,33.0,1,1.0,0.0758,0.0,0.0303,2,7,2
